PID,Episode,Reward
22585,1,-806.1354434585021
22584,1,-731.6323604318493
22587,1,-807.7431498328043
22588,1,-735.0525559730306
22586,1,-709.1255568085913
22585,2,-920.4826106414005
22584,2,-904.0661026024635
22587,2,-975.2944819357534
22588,2,-921.959213437298
22586,2,-1035.3470482872922
22585,3,-989.1506341020087
22584,3,-933.7225847418509
22587,3,-947.7708688780577
22588,3,-1022.8936802523447
22586,3,-921.7134591952176
22584,4,-1008.0410325332322
22585,4,-919.6492510345059
22588,4,-947.3499787261342
22587,4,-951.1361470931065
22586,4,-1015.5024544303703
22588,5,-999.8699305447412
22584,5,-851.5151597460945
22585,5,-834.6282479603723
22587,5,-936.9953775752416
22586,5,-953.7914800163051
22584,6,-907.5226969545965
22585,6,-889.4430251162232
22588,6,-942.9102440053821
22587,6,-842.6051425151651
22586,6,-964.491196245338
22584,7,-884.1328161840207
22588,7,-835.7501794073972
22585,7,-990.8750780898015
22587,7,-877.244895757019
22586,7,-969.6502039363827
22584,8,-935.1797671456393
22587,8,-901.3710483156534
22585,8,-1065.4399068254024
22588,8,-935.3796351981357
22586,8,-847.8647752963944
22584,9,-989.0902374622935
22587,9,-919.6246898393649
22585,9,-861.3768643164439
22588,9,-996.2989681882658
22586,9,-871.8666552752804
22584,10,-983.9230535367396
22587,10,-839.6062595041816
22585,10,-929.941813413098
22588,10,-970.560931796962
22586,10,-913.7370364104861
22584,11,-908.6016776354784
22587,11,-809.1772689693865
22585,11,-977.4625755359832
22588,11,-989.0008850263282
22586,11,-987.9702918123559
22584,12,-1050.2574549457881
22587,12,-948.0746795634923
22585,12,-993.8744577311959
22588,12,-1026.1283074676528
22586,12,-1025.7930046246609
22584,13,-878.1749645293443
22587,13,-923.8333706952778
22585,13,-943.8445773174935
22588,13,-917.4658638053121
22586,13,-941.8185567963505
22584,14,-986.5510381201719
22587,14,-910.7568607809684
22585,14,-910.6089090411208
22588,14,-949.229692170164
22586,14,-839.9661263921932
22584,15,-839.0728738993836
22587,15,-875.7182311138612
22585,15,-917.8333141054222
22588,15,-852.8097058221582
22586,15,-952.8950804836512
22584,16,-881.7042367979235
22587,16,-878.4259684516871
22585,16,-1044.0656228854864
22588,16,-938.0695214630143
22586,16,-811.1676500443998
22584,17,-926.927974766655
22587,17,-787.3676370400433
22585,17,-959.7805704913932
22588,17,-952.1826062334324
22586,17,-917.5870992098174
22587,18,-865.0156982704765
22584,18,-881.1503328723977
22585,18,-931.1703641287249
22588,18,-877.236500659064
22586,18,-940.6112174532974
22587,19,-788.2977051147387
22584,19,-867.7041475226126
22585,19,-989.7560457840768
22588,19,-846.4242471533795
22586,19,-842.1449489644345
22587,20,-963.6167651290723
22584,20,-987.6319420436555
22585,20,-885.3559130281485
22588,20,-888.2339650274137
22586,20,-807.8967005663853
22587,21,-884.8149570607086
22584,21,-783.95256057974
22585,21,-900.7181763791767
22588,21,-885.855572840354
22586,21,-876.4594453079619
22587,22,-851.5631529442785
22584,22,-882.2319375136708
22585,22,-782.8881430360925
22588,22,-881.2076835101159
22586,22,-870.9152222550728
22584,23,-960.1314272530922
22587,23,-868.9138613208679
22585,23,-798.068674259768
22588,23,-728.0396443387071
22586,23,-763.7896544670612
22584,24,-803.7995075396414
22587,24,-896.5615910894661
22585,24,-1011.9033326204001
22588,24,-855.8629944430564
22586,24,-795.3194984625283
22587,25,-882.5098088439341
22584,25,-850.299335693107
22585,25,-966.8106281855377
22588,25,-830.5184980332176
22586,25,-964.8947709276023
22584,26,-778.9197570319777
22587,26,-907.4744555409858
22585,26,-864.6654449612915
22588,26,-852.0344763014725
22586,26,-989.4035306617359
22584,27,-899.4874771860055
22587,27,-864.2876646649909
22585,27,-938.0481392461722
22588,27,-872.0662173174081
22586,27,-833.4281465121871
22584,28,-866.6999476077417
22587,28,-908.5314427472036
22585,28,-892.3707447927883
22588,28,-800.6264448904856
22586,28,-888.2831987854855
22584,29,-607.1995227064599
22587,29,-697.8482337558266
22585,29,-906.2145891643103
22588,29,-830.1983806338669
22586,29,-765.9491593163773
22584,30,-1010.9251820263044
22587,30,-958.4180325681253
22585,30,-823.9004093816707
22588,30,-864.8500870136803
22586,30,-879.0450574821429
22584,31,-785.7441989597426
22587,31,-1015.1328069153061
22585,31,-749.8147727152325
22588,31,-743.0431178023355
22586,31,-900.5763565566374
22584,32,-886.8325027264386
22587,32,-892.9367524662848
22585,32,-723.389520496866
22588,32,-740.203841575089
22586,32,-828.5804419365359
22584,33,-910.8054537592714
22587,33,-801.603595217285
22585,33,-797.9415703006144
22588,33,-821.1149960535802
22586,33,-801.7488445235307
22584,34,-764.701551611583
22587,34,-783.9669919290264
22585,34,-813.1779523774817
22588,34,-938.4911853130525
22586,34,-784.2269960339888
22584,35,-871.51217583295
22587,35,-836.3385602367396
22585,35,-751.1495385829447
22588,35,-667.5765408688515
22586,35,-775.7575728854483
22584,36,-837.7156754366938
22587,36,-821.7719576395791
22585,36,-800.8608211614775
22588,36,-759.1138751109991
22586,36,-878.2226817071834
22584,37,-871.9267028261779
22587,37,-763.8171691700886
22585,37,-725.9124966965239
22588,37,-830.7437789502139
22586,37,-723.7786017216043
22584,38,-1026.0071957644018
22587,38,-732.5950508345832
22585,38,-805.3618268467653
22588,38,-756.5261547315016
22586,38,-762.4158158438795
22587,39,-764.1680421522871
22584,39,-817.6009213217342
22585,39,-720.792502022285
22588,39,-779.1633244012926
22586,39,-729.9337435024129
22587,40,-705.4907399302057
22584,40,-772.9993661199915
22585,40,-817.2553591269817
22588,40,-858.3132140220886
22586,40,-867.8034381590619
