PID,Episode,Reward
31692,1,1277.84985761962
31693,1,1266.8224598835795
31692,2,1740.064616996779
31693,2,1765.7530622596769
31692,3,1864.4417864225775
31693,3,1872.923569522061
31692,4,1612.192172906745
31693,4,1708.482709918857
31692,5,1873.121704524614
31693,5,1918.4414520918335
31692,6,1722.663514185358
31693,6,1912.6268204385276
31692,7,1798.324777923194
31693,7,1917.228961850241
31692,8,1766.2574393961067
31693,8,1819.0972817063998
31692,9,1633.2231198066102
31693,9,1680.3084565245263
31692,10,1788.0773899613844
31693,10,1779.1874241352284
31693,11,1928.4155907901384
31692,11,1829.1035721174494
31693,12,1889.3640833792808
31692,12,1703.2774121251084
31693,13,1850.8490724994358
31692,13,1798.4097080544254
31693,14,1907.336998959893
31692,14,1783.0130701218807
31693,15,1852.7582298833515
31692,15,1939.123857605444
31693,16,1862.7349405434215
31692,16,1922.3100167766381
31693,17,1842.3146993850492
31692,17,1875.6462890510486
31693,18,1885.9240537766075
31692,18,1920.5903217814493
31693,19,1800.0542837948183
31692,19,1910.002023979445
31693,20,1869.9747066307405
31692,20,1804.3095461350997
31693,21,1911.2496893197738
31692,21,1855.967494666523
31693,22,1961.8167206879916
31692,22,1777.9448415206346
31693,23,1923.67610417892
31692,23,1900.1645532920966
31693,24,1867.1687473293623
31692,24,1943.8468908603838
31693,25,1921.6072546571334
31692,25,1890.8629398421588
31693,26,1955.2336417629667
31692,26,1945.5019553989875
31693,27,1934.3276842588607
31692,27,1887.1246714439126
31693,28,1944.9321741719095
31692,28,1929.4964055987905
31693,29,1922.8528497384634
31692,29,1949.302813719368
31693,30,1925.1011684392981
31692,30,1951.5841111443804
31693,31,1928.8707052911982
31692,31,1968.1929097305886
31693,32,1926.6380933589962
31692,32,1957.5958938309275
31693,33,1974.5930742476
31692,33,1956.147162250477
31693,34,1982.2487502223391
31692,34,1962.1803208344247
31693,35,1965.6284748109733
31692,35,1982.0209493096
31693,36,1939.2863106334426
31692,36,1949.5315614568506
31693,37,1951.0286247390266
31692,37,1943.7359215619174
31693,38,1957.6269377031617
31692,38,1966.933706849598
31693,39,1932.0863819351512
31692,39,1955.757572787785
31693,40,1978.1943620099323
31692,40,1966.016867555429
31693,41,1960.698889463579
31692,41,1932.916383613104
31693,42,1923.498127555122
31692,42,1970.177856246917
31693,43,1971.4789013015506
31692,43,1962.6689548235981
31693,44,1937.5789157704203
31692,44,1967.3923924810751
31693,45,1960.066222481141
31692,45,1955.1902940911505
31693,46,1978.0049551916356
31692,46,1961.558964008656
31693,47,1932.9409873837453
31692,47,1975.2522778101184
31693,48,1950.7600549535764
31692,48,1939.747066071468
31693,49,1972.084995169591
31692,49,1958.1037261301526
31693,50,1988.346248920345
31692,50,1975.5516162136728
31693,51,1989.2602609226715
31692,51,2000.1959569624498
31693,52,1986.0942310777941
31692,52,1982.5161811135115
31693,53,1955.315117647502
31692,53,1954.9940094993358
31693,54,1983.6502097923585
31692,54,2002.3484294586624
31693,55,1993.4174091859347
31692,55,2002.8952686463776
31693,56,1981.4500862670168
31692,56,1984.261449553592
31693,57,2001.5190623693306
31692,57,1991.745017065538
31693,58,1999.7397752128893
31692,58,1997.5794208097527
31693,59,1982.9560776475907
31692,59,2013.4328728181542
31693,60,2007.2684161800928
31692,60,1953.4710357858805
31693,61,1961.1890308980007
31692,61,1993.0628112102022
31693,62,2001.7996604704242
31692,62,2017.5288606098736
31693,63,2013.4605497201474
31692,63,1992.4193123938887
31693,64,2022.1184133692827
31692,64,2013.9188900080903
31693,65,1989.0208818678454
31692,65,2019.0564706892967
31693,66,2009.8423028953123
31692,66,1988.9887641082134
31693,67,2010.1453760065226
31692,67,2001.0694818885027
31693,68,2017.0275440678188
31692,68,1984.8474951130204
31693,69,2013.2280601126313
31692,69,1973.1792484495434
31693,70,2006.4815667596254
31692,70,2014.4976368566345
31693,71,2002.3001139279133
31692,71,2012.4061178105844
31693,72,2009.9192767378117
31692,72,1995.0027417116032
31693,73,2020.3760791299512
31692,73,1977.6142692604453
31693,74,2000.7026776905718
31692,74,1994.7684159375851
31693,75,2025.0410256796035
31692,75,2010.9713401661406
31693,76,2002.4119377358084
31692,76,2011.5633118172289
31693,77,2018.3969098011705
31692,77,2019.7190470947191
31693,78,2014.5238728679471
31692,78,2006.253231636779
31693,79,2026.8726478359342
31692,79,2004.2436546474873
31693,80,2028.7230736028228
31692,80,2011.3191591186414
31693,81,2028.6343095408474
31692,81,2016.2507600983108
31693,82,2030.015431880961
31692,82,2004.1117664730064
31693,83,2040.747560524062
31692,83,2031.8141450665846
31693,84,2023.8259109759197
31692,84,2034.3590393126467
31693,85,2000.2156844869255
31692,85,2028.8211664811718
31693,86,2000.7336159667675
31692,86,2006.135074694685
31693,87,2038.499127905884
31692,87,2038.8232633302075
31693,88,2039.9803861232645
31692,88,2030.7250936300068
31693,89,2024.4943543642132
31692,89,2027.2203269643405
31693,90,2043.6269184488654
31692,90,2038.5730296026784
31693,91,2023.503324716802
31692,91,2043.0422340902296
31693,92,2029.3646757935844
31692,92,2018.8226547047602
31693,93,2036.5925823930454
31692,93,2032.2874425243567
31693,94,2035.7517719738414
31692,94,2034.9842987129493
31693,95,2044.9956549272658
31692,95,2044.0432541685996
31693,96,2019.198802180723
31692,96,2030.2738479508246
31693,97,2019.561377057776
31692,97,2033.9330451269975
31693,98,2065.864211787939
31692,98,2022.479658268478
31693,99,2045.8552380805777
31692,99,2049.9870026095487
31693,100,2045.6931033659812
31692,100,2036.0735605953425
31693,101,2052.446291218306
31692,101,2040.2706984107353
31693,102,2045.8204246960374
31692,102,2045.342734641764
31693,103,2047.328554169856
31692,103,2038.2829293858772
31693,104,2050.8891371179807
31692,104,2046.1818341084345
31693,105,2040.8314334045913
31692,105,2035.532765138154
31693,106,2027.0932130750466
31692,106,2040.293496861123
31693,107,2057.7610505246366
31692,107,2050.4322735389665
31693,108,2066.120171997519
31692,108,2058.869495901653
31693,109,2013.4073031780497
31692,109,2034.084443925519
31693,110,2062.7531230403342
31692,110,2046.9719814727198
31693,111,2051.421492018504
31692,111,2058.9628809643964
31693,112,2042.599013815275
31692,112,2056.959318508261
31693,113,2057.6058989472954
31692,113,2062.103377306378
31693,114,2058.2313379923025
31692,114,2057.4839346652498
31693,115,2061.409303821862
31692,115,2058.2463296108335
31693,116,2052.138717971515
31692,116,2077.8417852900257
31693,117,2067.4416262656396
31692,117,2034.7992549749756
31693,118,2045.6484356648475
