PID,Episode,Reward
10388,1,1305.0199997383897
10389,1,1138.3658384032854
10388,2,1915.7097347337858
10389,2,1808.2442584628866
10388,3,1884.3703179683778
10389,3,1774.0167764073476
10388,4,1833.6638741392135
10389,4,1708.4312199484891
10388,5,1779.0203358009262
10389,5,1729.0192219971354
10388,6,1617.592874329202
10389,6,1855.5496635737447
10388,7,1706.131941680376
10389,7,1905.6233645936236
10388,8,1916.5189338984121
10389,8,1779.2584119344424
10388,9,1860.5342740335027
10389,9,1846.7225127135923
10388,10,1840.869890011369
10389,10,1842.467620115754
10388,11,1904.4272864441646
10389,11,1731.5094198986553
10388,12,1871.6305811014306
10389,12,1926.244503249994
10388,13,1897.612223847625
10389,13,1924.7589088672562
10388,14,1841.582073085374
10389,14,1819.034748999022
10388,15,1893.917176072133
10389,15,1898.9250581425458
10388,16,1905.7997210707008
10389,16,1946.1735163363055
10388,17,1735.9520894249476
10389,17,1882.7336644008867
10388,18,1850.0518520136436
10389,18,1917.2595428971358
10388,19,1888.4793546427372
10389,19,1888.8608604803119
10388,20,1928.2756308018213
10389,20,1894.251261645461
10388,21,1787.14123300989
10389,21,1942.530967265488
10388,22,1914.7482304377854
10389,22,1875.8924133675418
10388,23,1874.6927315037574
10389,23,1793.9861843733922
10388,24,1940.1977226020738
10389,24,1916.5659989119426
10388,25,1949.4497789936831
10389,25,1907.803857633351
10388,26,1919.7484024765545
10389,26,1942.4389835194818
10388,27,1959.221752711778
10389,27,1911.621790954074
10388,28,1930.4641792059037
10389,28,1945.544369267059
10388,29,1969.8191745836857
10389,29,1916.4030282177591
10388,30,1920.6273600935644
10389,30,1944.4075010887664
10388,31,1931.84772376701
10389,31,1944.7438365978335
