Model,Average Reward
q_learning_agent_17928.pkl,-398.8292847222245
q_learning_agent_17929.pkl,-542.6443888888871
q_learning_agent_17930.pkl,-558.5068607642352
q_learning_agent_17931.pkl,-296.56648611111217
q_learning_agent_17932.pkl,-407.23816765873136
