Episode,Reward
1,298.74752137206764
2,317.28117343101
3,317.2811734310098
4,317.9811734310099
5,322.42259209636455
6,317.28117343100996
7,316.5811734310101
8,316.58117343101003
9,315.18117343100994
10,314.4811734310099
11,313.78117343100973
12,316.5811734310099
13,316.58117343101003
14,319.3811734310099
15,317.98117343100995
16,317.2811734310101
17,316.5811734310099
18,317.98117343100995
