PID,Episode,Reward
23492,1,-415.47982553271885
23493,1,-410.0100967157848
23494,1,-354.0824544062956
23492,2,-441.7945237376997
23494,2,-439.0541469141569
23493,2,-454.3585340231659
23492,3,-441.2816466164567
23494,3,-524.2511401782449
23493,3,-359.8750243398346
23492,4,-390.06855977600856
23494,4,-397.9550061388776
23493,4,-284.4039219469257
23492,5,-299.1343208239885
23494,5,-477.08245664078635
23493,5,-435.79107062810635
23492,6,-373.7878759934928
23494,6,-315.91327133569075
23493,6,-384.29900303046594
23492,7,-263.50151121794875
23494,7,-341.24945483682984
23493,7,-330.7281372873454
23492,8,-454.48019205508587
23494,8,-320.7625282683004
23493,8,-293.1814163991644
23492,9,-255.9341856631934
23494,9,-493.6567389026423
23493,9,-301.6506970219326
23492,10,-327.74517627042155
23494,10,-237.81397924379496
23493,10,-298.94474459547797
23492,11,-322.7927167858698
23494,11,-273.4203570914385
23493,11,-492.1663160713885
23492,12,-408.6526021464248
23494,12,-369.60550590953306
23493,12,-422.24447322754844
23492,13,-316.3548193042661
23494,13,-323.1546883686171
23493,13,-248.87061792374305
23492,14,-391.7163588572381
23494,14,-294.50958858543373
23493,14,-342.84571252011943
23492,15,-336.6626958111331
23494,15,-211.14949278295194
23493,15,-438.7128422472146
23492,16,-298.2923186684636
23494,16,-388.81084276711937
23493,16,-223.74108092336613
23492,17,-340.1011143829623
23494,17,-468.24687859872915
23493,17,-264.4140966613047
23492,18,-367.9411624237688
23494,18,-292.5907771903343
23493,18,-319.09573128627824
23492,19,-333.7356244531606
23494,19,-348.1282921347445
23493,19,-220.94204815670432
23492,20,-167.36230307478488
23494,20,-273.082684943121
23493,20,-272.7991713815183
23492,21,-282.9576857111437
23494,21,-336.67714114215056
23493,21,-182.07424836111568
23492,22,-189.52005961440537
23494,22,-246.91894159639378
23493,22,-271.14663500368073
23492,23,-257.5228795781425
23494,23,-287.91869482845533
23493,23,-236.5102413187304
23492,24,-236.80109700022203
23494,24,-262.65625235569166
23493,24,-218.83832463655637
23492,25,-389.5281739163625
23494,25,-241.00710635198126
23493,25,-333.17756887495636
23492,26,-253.6702143550894
23494,26,-259.0678320480582
23493,26,-334.6859720642914
23492,27,-238.40897055926106
23494,27,-215.7578980810855
23493,27,-191.11967703007795
23492,28,-270.609688145188
23494,28,-261.03920104548223
23493,28,-308.3871793351656
23492,29,-216.53663431401085
23494,29,-298.94831134714934
23493,29,-296.06919481498915
23492,30,-162.57333649193984
23494,30,-224.61101940951158
23493,30,-128.2882393160351
23492,31,-123.23164780460529
23494,31,-227.45800270685106
23493,31,-320.65139003684163
23492,32,-194.39372822296156
23494,32,-177.63690026211526
23493,32,-159.5128070609934
23492,33,-253.72640793459033
23494,33,-149.72258970155693
23493,33,-201.20819127685994
23492,34,-149.093318719475
23494,34,-160.8386632132166
23493,34,-196.16619989038713
23492,35,-296.73525204289206
23494,35,-246.82570458259016
23493,35,-183.16230941974672
23492,36,-87.28455300459285
23494,36,-153.0035198496359
23493,36,-274.2751961384207
23492,37,-155.29894420856908
23494,37,-229.30328988474764
23493,37,-179.3417443520531
23492,38,-232.05345141153776
23494,38,-191.5118726273727
23493,38,-111.89554093822831
23492,39,-166.82366778258455
23494,39,-238.73767000870845
23493,39,-208.0881908457144
23492,40,-114.37713180610174
23494,40,-158.19737070221433
23493,40,-269.9293889086813
23492,41,-126.87181619728266
23494,41,-299.43496773018626
23493,41,-134.34158199663892
23492,42,-197.98896617659284
23494,42,-158.7390216172713
23493,42,-82.53206103618612
23492,43,-164.52486954977184
23494,43,-9.585916356927015
23493,43,-232.184038610695
23492,44,-194.40535925226715
23494,44,-180.20963943001473
23493,44,-154.9051774112325
23492,45,-150.18662830225335
23494,45,-99.10552320269562
23493,45,-124.66096902056269
23492,46,-74.47726584179712
23494,46,-171.38871581400673
23493,46,-113.04973817501912
23492,47,-109.82014382533305
23494,47,-187.85544486355118
23493,47,-165.33454362834846
23492,48,-149.99153059991457
23494,48,-175.51461249126694
23493,48,-119.67854663739023
23492,49,-120.08228294275212
23494,49,-166.98359856707762
23493,49,-180.04222709541312
23492,50,-148.45906023735282
23494,50,-129.48342840145946
23493,50,-168.49801560020862
23492,51,-164.93010519974297
23494,51,-99.83235802045107
23493,51,-0.3539602688979353
23492,52,-106.6551339875401
23494,52,-148.29013753729905
23493,52,-85.93080115125875
23492,53,-134.2635010059385
23494,53,-115.40254895900614
23493,53,-127.70410674027742
23492,54,171.93618876629898
23494,54,-116.77487833347223
23493,54,31.38295489375841
23492,55,-66.12431146671936
23494,55,-108.4697715130043
23493,55,-118.03944726352117
23492,56,-118.13068138540348
23494,56,-158.95522461525417
23493,56,-214.935627001471
23492,57,-0.2767998980179686
23494,57,-95.00305007492457
23493,57,-50.1184155081021
23492,58,-175.8794371114991
23494,58,-32.172922757797885
23493,58,-94.18743314120562
23492,59,-6.630452387889151
23494,59,-115.65571458790407
23493,59,-135.38644992507452
23492,60,-39.4067332153142
23494,60,-38.395507749194884
23493,60,-100.6931149267401
23492,61,33.042788905538934
23494,61,-144.19010750360783
23493,61,-48.282760062853555
23492,62,18.715617282023764
23494,62,-75.49559529318725
23493,62,3.379931963869948
23492,63,-87.75540267024631
23494,63,-130.11536302361876
23493,63,-89.72193588356102
23492,64,-196.35882783699145
23494,64,-77.27379049075869
23493,64,-12.410067126296624
23492,65,-110.28455170197437
23494,65,-54.42347270784741
23493,65,-12.828562808718784
23492,66,-102.05933457065835
23494,66,-48.53746054639723
23493,66,-52.962831554882726
23492,67,-59.42316826923024
23494,67,-18.20602628560128
23493,67,-41.89329838564202
23492,68,-108.86635311359345
23494,68,-87.8403962936567
23493,68,14.538651799589768
23492,69,-24.373634273201755
23494,69,-30.400101526945356
23493,69,32.48938683885594
23492,70,-38.26335836977502
23494,70,102.42183052364314
23493,70,-48.116189328033656
23492,71,39.86676069028996
23494,71,-48.018714566683215
23493,71,-14.885841183122837
23492,72,-69.89737294037648
23494,72,-25.67879927711126
23493,72,-8.563310519341625
23492,73,-41.09526604992192
23494,73,6.9228043623043884
23493,73,126.71750893550946
23492,74,-70.94052369648348
23494,74,131.53885451354182
23493,74,66.23421563852942
23492,75,69.73022622863293
23494,75,13.867834668803772
23493,75,136.61279870823645
23492,76,30.921968361499967
23494,76,-36.245133925102245
23493,76,-21.76631106393625
23492,77,16.700825077700703
23494,77,-47.97333090520597
23493,77,1.4251318397710373
23492,78,-44.90905146936432
23494,78,-46.43961939449444
23493,78,70.52928101759362
23492,79,258.2641486291468
23494,79,-50.660933739871716
23493,79,377.9514215367972
23492,80,122.80556468184696
23494,80,-52.13533213396055
23493,80,5.441625790876911
23492,81,177.42381422743932
23494,81,153.95713956182607
23493,81,205.02653306415777
23492,82,114.38926641761033
23494,82,258.29632933039187
23493,82,12.235365849428106
23492,83,202.85225857475794
23494,83,122.44785895354663
23493,83,102.41471782384296
23492,84,119.63416876322265
23494,84,65.72779833707972
23493,84,34.59485305666598
23492,85,48.20534710081628
23494,85,-20.00411623099105
23493,85,207.2864666652793
23492,86,-10.108595899811046
23494,86,86.83168790788498
23493,86,71.15479878454936
23492,87,211.22171108752295
23494,87,159.35402534271245
23493,87,170.89111763930467
23492,88,65.72119790279191
23494,88,80.41351232917461
23493,88,160.45690404040363
23492,89,183.7550202367079
23494,89,-14.099869286962747
23493,89,153.78145774017602
23492,90,73.61311351108047
23494,90,84.29314705433492
23492,91,163.74876832195523
23493,90,133.44960169691342
23494,91,184.81154452491788
23492,92,155.71464078282744
23493,91,204.6868629044561
23494,92,228.2570494366733
23492,93,157.91439104645306
