PID,Episode,Reward
17929,1,-1021.2684968940368
17928,1,-1083.8980954098959
17930,1,-967.2559625556206
17932,1,-1043.8911668860108
17931,1,-1141.571918987258
17929,2,-1041.6795562074756
17931,2,-816.7409447960127
17928,2,-1043.0297056929987
17932,2,-1031.142386318335
17930,2,-1017.709220589864
17929,3,-916.9445732111005
17931,3,-902.9010583521891
17928,3,-1031.205985416337
17932,3,-964.3811107468903
17930,3,-1104.1211585942604
17929,4,-966.8392651843658
17928,4,-1075.65976066009
17931,4,-1173.7328269430693
17930,4,-878.2272472468296
17932,4,-978.6993161048516
17929,5,-1057.8907792450566
17928,5,-930.77391282349
17931,5,-1060.0759775973604
17932,5,-999.6971385789457
17930,5,-1065.3460705219966
17928,6,-983.2731980803072
17929,6,-1203.534097056534
17931,6,-1048.3989095071588
17932,6,-1014.1141117973119
17930,6,-991.8810686690709
17928,7,-1029.1545673876776
17929,7,-1255.442686914596
17931,7,-1241.8177745806054
17930,7,-934.9314204651513
17932,7,-1255.1997344544784
17928,8,-978.7486146931086
17931,8,-935.1908827647034
17929,8,-1282.4146383232744
17930,8,-888.6839234895008
17932,8,-1122.1010661215796
17928,9,-948.0280782214106
17931,9,-816.2160668904219
17930,9,-795.1631502115122
17929,9,-1236.3798255092536
17932,9,-1347.2317332481623
17928,10,-1346.452352665916
17931,10,-913.7218851377371
17930,10,-811.6329950060135
17929,10,-1114.4423018758175
17932,10,-953.705883003637
17928,11,-1110.1951773659284
17930,11,-875.0567229482102
17931,11,-1103.602564842018
17929,11,-866.989993781953
17932,11,-1095.3145627519934
17928,12,-632.377281204905
17930,12,-1055.868567944103
17931,12,-1271.320514242084
17929,12,-904.3339574659403
17932,12,-1020.963726180273
17928,13,-877.9318345637208
17931,13,-929.8773160234376
17930,13,-1400.360009286054
17929,13,-1007.9302089140419
17932,13,-1215.8132489222362
17928,14,-834.2806174836185
17931,14,-970.213992990058
17929,14,-1362.7799237274148
17930,14,-1362.29827446818
17932,14,-1077.6815167653015
17928,15,-565.8472720404586
17931,15,-1103.9193296907297
17930,15,-900.6615105295012
17932,15,-1334.989935046977
17929,15,-1413.3036222900885
17928,16,-959.6207857012264
17931,16,-881.5015294101318
17930,16,-663.5051552163095
17929,16,-1153.41045017482
17932,16,-1125.543135696
17928,17,-1195.0696297144407
17931,17,-961.3665691948984
17930,17,-576.1386986367397
17932,17,-548.895599234097
17929,17,-1060.9957894095253
17928,18,-1200.1960110712428
17931,18,-831.6561948992608
17930,18,-468.8590077700084
17932,18,-586.2622565836947
17929,18,-903.0839610797669
17928,19,-565.7465667180065
17930,19,-269.00676587301507
17931,19,-579.0980541888674
17932,19,-537.1825758616369
17929,19,-616.2634844877322
17928,20,-537.9012371031768
17930,20,-673.0989263028639
17931,20,-640.4675886093044
17932,20,-747.6192011930076
17929,20,-658.6973654886785
17928,21,-558.7725442751699
17930,21,-598.9865770873323
17931,21,-828.829826139135
17932,21,-662.4175095668203
17929,21,-676.6847964466095
17928,22,-674.4423357128945
