PID,Episode,Reward
2958,1,-679.4488591928907
2956,1,-741.6506808887598
2957,1,-880.03433199072
2958,2,-921.8548899017641
2956,2,-952.8721353368843
2957,2,-1144.1910065816548
2956,3,-852.428252795815
2958,3,-1142.5696763457136
2957,3,-1033.8937326111386
2956,4,-907.0097267593501
2958,4,-889.8256604992216
2957,4,-931.3597667055157
2956,5,-890.2661352744452
2958,5,-815.0445264249643
2957,5,-794.9087011183236
2956,6,-797.6707020201987
2958,6,-851.2939578060826
2957,6,-1366.9410984515855
2956,7,-978.7141686820115
2958,7,-1095.437478097474
2957,7,-838.2581571275896
2956,8,-789.88039141414
2958,8,-941.9443820187145
2957,8,-806.8953961940827
2956,9,-953.6596542034354
2958,9,-1077.711215008234
2957,9,-822.1401256659998
2956,10,-1047.3290933510914
2958,10,-786.6262443251206
2957,10,-768.0838779761901
2956,11,-835.4517067932072
2958,11,-978.7887438533667
2957,11,-841.3563363095245
2956,12,-826.7011977189483
2958,12,-870.5474945054942
2957,12,-860.2258759643112
2956,13,-1101.6576576366824
2958,13,-842.864958451269
2957,13,-786.1854695165953
2956,14,-1002.395234234514
2958,14,-895.029183989006
2957,14,-902.545981504604
2958,15,-737.7484166666663
2956,15,-868.8350452325486
2957,15,-925.4793658945208
2958,16,-858.0008614996093
2956,16,-850.4588894091996
2957,16,-1138.5099752528938
2958,17,-928.5907666361387
2956,17,-873.2573547459477
2957,17,-788.6041966020091
2958,18,-781.75473944805
2956,18,-862.0713123751228
2957,18,-818.7168149350658
2958,19,-843.8241361832621
2956,19,-687.6734890873016
2957,19,-813.8139960317441
2958,20,-795.9245484307362
2956,20,-739.4449335317464
2957,20,-798.1005399530976
2958,21,-788.5892362914863
2956,21,-700.2051021825421
2957,21,-895.565964153903
2956,22,-753.909183531745
2958,22,-1000.4683198111089
2957,22,-741.0857216810973
2956,23,-750.352384920635
2958,23,-779.9515576714923
2957,23,-779.7508872655113
2956,24,-767.2179890873023
2958,24,-762.1518688672406
